[0 0 0],2,0,2,0
[0 0 6],9,1,10,0
[0 0 11],13,0,13,0
[0 0 14],1,0,1,0
[0 0 15],2,0,2,0
[0 0 24],1,0,1,0
[0 0 32],1,0,1,0
[0 2 1],1,0,1,0
[0 3 0],1,0,1,0
[0 3 2],13,0,13,0
[0 7 14],1,0,1,0
[0 22 0],4,0,4,0
[0 22 2],1,0,1,0
[0 22 7],5,0,5,0
[0 22 14],1,0,1,0
[0 22 17],1,0,1,0
[0 22 18],1,0,1,0
[0 22 24],1,0,1,0
[0 22 32],2,0,2,0
[0 33 2],5,0,5,0
[0 33 5],1,0,1,0
[0 33 7],1,0,1,0
[0 33 17],1,0,1,0
[0 33 18],1,0,1,0
[0 40 0],1,0,1,0
[0 40 1],58,0,58,0
[0 40 5],1,0,1,0
[0 40 10],10,0,10,0
[0 45 6],2,0,2,0
[0 45 32],1,0,1,0
[0 46 0],17,0,17,0
[0 46 2],7,0,7,0
[0 46 18],1,0,1,0
[0 47 1],2,0,2,0
[0 48 0],1,0,1,0
[0 56 0],11,1,12,0
[0 56 11],1,0,1,0
[0 56 12],1,0,1,0
[0 56 16],1,0,1,0
[0 57 0],237,9,246,0
[0 57 2],2,0,2,0
[0 57 7],1,0,1,0
[0 57 9],1,0,1,0
[0 57 12],10,0,10,0
[0 57 16],4,0,4,0
[0 57 18],6,0,6,0
[0 67 14],1,0,1,0
[0 73 5],1,0,1,0
[0 75 1],3,0,3,0
[0 75 5],2,0,2,0
[0 76 1],11,0,11,0
[0 76 5],1,0,1,0
[0 76 18],1,0,1,0
[0 77 0],1,0,1,0
[0 77 1],4,0,4,0
[0 77 2],15,0,15,0
[0 77 30],3,0,3,0
[0 77 33],4,0,4,0
[0 78 1],9,0,9,0
[0 78 5],1,0,1,0
[0 78 10],5,0,5,0
[0 79 6],2,0,2,0
[0 79 17],1,0,1,0
[0 82 7],2,0,2,0
[0 82 18],1,0,1,0
[0 82 32],3,0,3,0
[0 85 1],92,5,97,0
[0 85 5],7,0,7,0
[0 85 10],14,0,14,0
[0 86 1],8,0,8,0
[0 89 1],2,0,2,0
[0 90 34],1,0,1,0
[0 93 2],1,0,1,0
[0 96 0],1,0,1,0
[0 96 4],1,0,1,0
[0 96 7],1,0,1,0
[0 96 18],1,0,1,0
[0 100 12],2,0,2,0
[0 101 27],1,0,1,0
[0 102 1],1,0,1,0
[0 103 0],4,0,4,0
[0 103 23],1,0,1,0
[0 106 0],1,0,1,0
[0 106 7],1,0,1,0
[0 108 1],16,0,16,0
[0 108 10],1,0,1,0
[0 110 0],4,0,4,0
[0 119 0],4,0,4,0
[0 119 2],603,28,631,0
[0 119 5],1,0,1,0
[0 119 7],1,0,1,0
[0 119 15],2,0,2,0
[0 119 17],1,0,1,0
[0 119 33],1,0,1,0
[0 119 41],1,0,1,0
[0 123 18],1,0,1,0
[0 124 1],29,0,29,0
[0 124 5],7,0,7,0
[0 124 6],1,0,1,0
[0 124 10],2,0,2,0
[0 126 0],2,0,2,0
[0 127 0],1,0,1,0
[0 127 1],205,11,216,0
[0 127 5],13,0,13,0
[0 127 10],34,0,34,0
[0 129 1],9,0,9,0
[0 133 29],2,0,2,0
[0 135 2],1,0,1,0
[0 135 18],3,0,3,0
[0 135 24],1,0,1,0
[0 135 32],3,0,3,0
[0 136 18],1,0,1,0
[0 142 0],3,0,3,0
[0 142 2],2,0,2,0
[0 142 14],1,0,1,0
[0 142 18],1,0,1,0
[0 142 32],5,0,5,0
[0 144 1],163,15,178,0
[0 144 5],5,1,6,0
[0 144 10],6,0,6,0
[0 145 1],197,6,203,0
[0 145 5],2,0,2,0
[0 145 10],7,0,7,0
[0 146 1],324,6,330,0
[0 146 4],1,0,1,0
[0 146 5],11,0,11,0
[0 146 10],38,0,38,0
[0 148 1],4,0,4,0
[0 148 5],1,0,1,0
[1 1 0],1,0,1,0
[1 1 5],1,0,1,0
[1 1 6],1,1,2,0
[1 1 7],1,1,2,0
[1 1 10],1,0,1,0
[1 1 11],4,3,7,0
[1 1 12],1,0,1,0
