wear,wear,0,78,2,6,23,4,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hold,hold,78,0,19,51,133,84,61,0,29,42,30,16,13,0,2,12,3,14,9,3,10,13,6,2,4,5,5,1
sit,sit,2,19,0,48,5,27,2,0,22,6,1,0,5,0,16,3,13,1,3,10,0,2,6,2,2,0,2,5
ride,ride,6,51,48,0,13,25,1,0,11,5,0,0,3,2,19,0,3,0,2,1,0,1,3,0,1,0,2,2
carry,carry,23,133,5,13,0,15,4,0,8,3,5,0,5,0,0,3,2,0,3,2,0,6,2,4,2,0,0,1
look,look,4,84,27,25,15,0,31,0,28,47,26,4,2,0,16,11,10,7,11,4,8,14,3,2,4,5,2,3
use,use,1,61,2,1,4,31,0,0,3,2,18,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,2
cover,cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
touch,touch,7,29,22,11,8,28,3,0,0,10,9,0,2,0,5,10,7,2,10,2,0,6,4,2,3,0,2,4
watch,watch,0,42,6,5,3,47,2,0,10,0,12,2,0,0,3,10,3,0,9,0,1,5,0,2,3,1,0,0
talk,talk,0,30,1,0,5,26,18,0,9,12,0,0,0,0,0,10,1,0,9,0,0,6,0,2,2,0,0,0
fly,fly,0,16,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pull,pull,1,13,5,3,5,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
park,park,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive,drive,0,2,16,19,0,16,0,0,5,3,0,0,1,0,0,1,6,0,1,0,0,0,2,0,1,0,0,0
walk,walk,0,12,3,0,3,11,0,0,10,10,10,0,0,0,1,0,2,0,9,1,0,3,0,2,3,0,1,0
lean,lean,0,3,13,3,2,10,1,0,7,3,1,0,0,0,6,2,0,0,2,3,0,1,2,1,1,0,0,1
eat,eat,0,14,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
face,face,0,9,3,2,3,11,0,0,10,9,9,0,0,0,1,9,2,0,0,0,0,3,0,2,2,0,1,1
lying,lying,0,3,10,1,2,4,0,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,3,0,0,0,0,0
hit,hit,0,10,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0
play,play,0,13,2,1,6,14,7,0,6,5,6,0,0,0,0,3,1,0,3,0,4,0,0,2,2,4,0,1
rest,rest,0,6,6,3,2,3,0,0,4,0,0,0,2,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0
follow,follow,0,2,2,0,4,2,0,0,2,2,2,0,0,0,0,2,1,0,2,0,0,2,0,0,2,0,0,0
feed,feed,0,4,2,1,2,4,0,0,3,3,2,0,0,0,1,3,1,1,2,0,0,2,0,2,0,0,1,0
kick,kick,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0
walk,walk,1,5,2,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
skate,skate,0,1,5,2,1,3,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
