wear,wear,0,63,1,6,17,3,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,hold,63,0,12,43,104,68,40,0,26,37,23,14,11,0,2,12,0,12,8,1,10,8,4,2,4,5,4,1
sit,sit,1,12,0,37,3,25,2,0,16,4,1,0,3,0,12,3,9,1,2,6,0,2,5,1,2,0,1,3
ride,ride,6,43,37,0,8,21,1,0,6,3,0,0,2,2,15,0,2,0,1,1,0,1,2,0,1,0,0,1
carry,carry,17,104,3,8,0,12,2,0,5,3,3,0,5,0,0,3,1,0,3,2,0,2,2,2,2,0,0,1
look,look,3,68,25,21,12,0,21,0,23,36,20,4,2,0,14,11,7,7,9,2,7,8,2,2,4,5,1,2
use,use,1,40,2,1,2,21,0,0,2,1,12,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2
cover,cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
touch,touch,5,26,16,6,5,23,2,0,0,10,9,0,2,0,2,10,2,2,8,1,0,4,3,2,3,0,1,2
watch,watch,0,37,4,3,3,36,1,0,10,0,11,1,0,0,1,10,2,0,8,0,1,2,0,2,3,1,0,0
talk,talk,0,23,1,0,3,20,12,0,9,11,0,0,0,0,0,10,0,0,8,0,0,3,0,2,2,0,0,0
fly,fly,0,14,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pull,pull,1,11,3,2,5,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
park,park,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive,drive,0,2,12,15,0,14,0,0,2,1,0,0,1,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0
walk,walk,0,12,3,0,3,11,0,0,10,10,10,0,0,0,1,0,1,0,8,1,0,1,0,2,3,0,1,0
lean,lean,0,0,9,2,1,7,1,0,2,2,0,0,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,1
eat,eat,0,12,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
face,face,0,8,2,1,3,9,0,0,8,8,8,0,0,0,1,8,0,0,0,0,0,1,0,2,2,0,0,0
lying,lying,0,1,6,1,2,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0
hit,hit,0,10,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0
play,play,0,8,2,1,2,8,3,0,4,2,3,0,0,0,0,1,0,0,1,0,4,0,0,1,1,4,0,1
rest,rest,0,4,5,2,2,2,0,0,3,0,0,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0
follow,follow,0,2,1,0,2,2,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0
feed,feed,0,4,2,1,2,4,0,0,3,3,2,0,0,0,0,3,0,1,2,0,0,1,0,2,0,0,1,0
kick,kick,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0
walk,walk,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
skate,skate,0,1,3,1,1,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
